drug_name,closest_name,drugbank_id,score
"acetazolamide
",acetazolamide,DB00819,100.0
"acetic acid
",acetic acid,DB03166,100.0
"acetylcysteine 
",acetylcysteine,DB06151,100.0
"acetylsalicylic acid 
",acetylsalicylic acid,DB00945,100.0
"albendazole
",albendazole,DB00518,100.0
"alcuronium
",alcuronium,DB13648,100.0
"allopurinol 
",allopurinol,DB00437,100.0
"aluminium hydroxide 
",aluminum hydroxide,DB06723,97.0
"amikacin
",amikacin,DB00479,100.0
"amiloride
",amiloride,DB00594,100.0
"amiodarone 
",amiodarone,DB01118,100.0
"amitriptyline
",amitriptyline,DB00321,100.0
"amlodipine
",amlodipine,DB00381,100.0
"amodiaquine
",amodiaquine,DB00613,100.0
"amoxicillin 
",amoxicillin,DB01060,100.0
"amphotericin B
",amphotericin b,DB00681,100.0
"ampicillin 
",ampicillin,DB00415,100.0
"artemether
",artemether,DB06697,100.0
"artemether + lumefantrine
",lumefantrine co-artemether,DB13085,94.0
"artesunate
",artesunate,DB09274,100.0
"ascorbic acid 
",ascorbic acid,DB00126,100.0
"atazanavir
",atazanavir,DB01072,100.0
"atenolol
",atenolol,DB00335,100.0
"atropine 
",atropine,DB00572,100.0
"azathioprine
",azathioprine,DB00993,100.0
"azithromycin
",azithromycin,DB00207,100.0
"barium sulfate 
",barium sulfate,DB11150,100.0
"BCG vaccine
",bcg vaccine,DB12768,100.0
"benznidazole
",benznidazole,DB11989,100.0
"benzoyl peroxide
",benzoyl peroxide,DB09096,100.0
"benzyl benzoate
",benzyl benzoate,DB00676,100.0
"benzylpenicillin
",benzylpenicillin,DB01053,100.0
"betamethasone
",betamethasone,DB00443,100.0
"biperiden
",biperiden,DB00810,100.0
"bleomycin
",bleomycin,DB00290,100.0
"budesonide 
",budesonide,DB01222,100.0
"bupivacaine
",bupivacaine,DB00297,100.0
"calcium gluconate 
",calcium gluconate,DB11126,100.0
"capreomycin
",capreomycin,DB00314,100.0
"carbamazepine
",carbamazepine,DB00564,100.0
"carboplatin 
",carboplatin,DB00958,100.0
"cefazolin
",cefazolin,DB01327,100.0
"cefixime
",cefixime,DB00671,100.0
"cefotaxime 
",cefotaxime,DB00493,100.0
"ceftazidime 
",ceftazidime,DB00438,100.0
"ceftriaxone
",ceftriaxone,DB01212,100.0
"charcoal, activated
",activated charcoal,DB09278,100.0
"chlorambucil
",chlorambucil,DB00291,100.0
"chloramphenicol
",chloramphenicol,DB00446,100.0
"chlorhexidine 
",chlorhexidine,DB00878,100.0
"chloroquine 
",chloroquine,DB00608,100.0
"chloroxylenol 
",chloroxylenol,DB11121,100.0
"chlorphenamine
",chlorpheniramine,DB01114,93.0
"chlorpromazine 
",chlorpromazine,DB00477,100.0
"cholecalciferol 
",cholecalciferol,DB00169,100.0
"ciprofloxacin 
",ciprofloxacin,DB00537,100.0
"clindamycin 
",clindamycin,DB01190,100.0
"clofazimine
",clofazimine,DB00845,100.0
"clomifene
",clomifene,DB00882,100.0
"clomipramine
",clomipramine,DB01242,100.0
"clotrimazole 
",clotrimazole,DB00257,100.0
"cloxacillin 
",cloxacillin,DB01147,100.0
"coal tar 
",coal tar,DB11082,100.0
"codeine
",codeine,DB00318,100.0
"cyclophosphamide 
",cyclophosphamide,DB00531,100.0
"cycloserine
",cycloserine,DB00260,100.0
"cytarabine
",cytarabine,DB00987,100.0
"dacarbazine 
",dacarbazine,DB00851,100.0
"dactinomycin
",dactinomycin,DB00970,100.0
"dapsone 
",dapsone,DB00250,100.0
"daunorubicin
",daunorubicin,DB00694,100.0
"deferoxamine 
",deferoxamine,DB00746,100.0
"dexamethasone
",dexamethasone,DB01234,100.0
"diazepam
",diazepam,DB00829,100.0
"diethylcarbamazine
",diethylcarbamazine,DB00711,100.0
"digoxin
",digoxin,DB00390,100.0
"diloxanide 
",diloxanide,DB08792,100.0
"dimercaprol 
",dimercaprol,DB06782,100.0
"DL‐methionine 
",d-methionine,DB02893,96.0
"dopamine
",dopamine,DB00988,100.0
"doxorubicin
",doxorubicin,DB00997,100.0
"doxycycline
",doxycycline,DB00254,100.0
"eflornithine 
",eflornithine,DB06243,100.0
"enalapril 
",enalapril,DB00584,100.0
"ephedrine
",ephedrine,DB01364,100.0
"ergocalciferol 
",ergocalciferol,DB00153,100.0
"ergometrine
",ergometrine,DB01253,100.0
"erythromycin 
",erythromycin,DB00199,100.0
"acetate 
",acetate,DB14511,100.0
"ethambutol
",ethambutol,DB00330,100.0
"ethanol
",ethanol,DB00898,100.0
"ethinylestradiol 
",ethinylestradiol,DB00977,100.0
"ethionamide
",ethionamide,DB00609,100.0
"ethosuximide
",ethosuximide,DB00593,100.0
"etoposide 
",etoposide,DB00773,100.0
"fluconazole
",fluconazole,DB00196,100.0
"flucytosine
",flucytosine,DB01099,100.0
"fludrocortisone
",fludrocortisone,DB00687,100.0
"fluorescein
",fluorescein,DB00693,100.0
"fluorouracil 
",fluorouracil,DB00544,100.0
"fluoxetine 
",fluoxetine,DB00472,100.0
"fluphenazine
",fluphenazine,DB00623,100.0
"folic acid 
",folic acid,DB00158,100.0
"furosemide
",furosemide,DB00695,100.0
"gentamicin 
",gentamicin,DB00798,100.0
"glutaral
",glutaral,DB03266,100.0
"griseofulvin
",griseofulvin,DB00400,100.0
"haloperidol
",haloperidol,DB00502,100.0
"halothane
",halothane,DB01159,100.0
"hepatitis A vaccine
",hepatitis a vaccine,DB10989,100.0
"hepatitis B vaccine
",hepatitis a vaccine,DB10989,95.0
"hydralazine 
",hydralazine,DB01275,100.0
"hydrochlorothiazide 
",hydrochlorothiazide,DB00999,100.0
"hydrocortisone
",hydrocortisone,DB00741,100.0
"hydroxocobalamin 
",hydroxocobalamin,DB00200,100.0
"ibuprofen
",ibuprofen,DB01050,100.0
"ifosfamide
",ifosfamide,DB01181,100.0
"iodine 
",iodine,DB05382,100.0
"iohexol 
",iohexol,DB01362,100.0
"isoniazid 
",isoniazid,DB00951,100.0
"isosorbide dinitrate 
",isosorbide dinitrate,DB00883,100.0
"ivermectin 
",ivermectin,DB00602,100.0
"kanamycin
",kanamycin,DB01172,100.0
"ketamine
",ketamine,DB01221,100.0
"levamisole 
",levamisole,DB00848,100.0
"levonorgestrel 
",levonorgestrel,DB00367,100.0
"levothyroxine
",levothyroxine,DB00451,100.0
"lithium carbonate 
",lithium carbonate,DB14509,100.0
"lorazepam
",lorazepam,DB00186,100.0
"magnesium hydroxide 
",magnesium hydroxide,DB09104,100.0
"magnesium sulfate
",magnesium sulfate,DB00653,100.0
"mannitol 
",mannitol,DB00742,100.0
"mebendazole
",mebendazole,DB00643,100.0
"medroxyprogesterone acetate 
",medroxyprogesterone acetate,DB00603,100.0
"mefloquine
",mefloquine,DB00358,100.0
"melarsoprol
",melarsoprol,DB12864,100.0
"mercaptopurine
",mercaptopurine,DB01033,100.0
"metformin 
",metformin,DB00331,100.0
"methadone
",methadone,DB00333,100.0
"methotrexate
",methotrexate,DB00563,100.0
"methyldopa
",methyldopa,DB00968,100.0
